,Partial,Complete
10,There's a big building with a clock inside that's tall and pointy. The church has a tall tower that,"<start>There's a big building with a clock inside that's tall and pointy. The church has a tall tower that looks like a big bird. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sky is blue and seems happy. It feels like a fun party with the ball with the ball flowers and shiny tracks. I wonder what the ball will go next!<pad>"
11,The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green,"<start>The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green and some are shiny and shiny. The sun is shining, and the sun is shining bright. The sun shines bright, and the sun shines bright and smiles. It feels like a fun party with the ball flowers and something fun. I wonder what they are having a great time together!<pad>"
12,"There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in","<start>There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in the sun. The cat is sitting on a big book on the sidewalk, and it looks very cozy. The cat is sitting on the sidewalk, and it looks so cool! I wonder what the cat is waiting for someone to eat the cake. I wonder what the cat is waiting for someone to see the cake!<pad>"
13,A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching,"<start>A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching the ball with a big smile. The sun is shining, and the sun is shining bright. The sun is shining, and the sun is shining bright. The sun is shining, and the sun is shining bright. It feels like a fun adventure in the snow!<pad>"
14,"A fluffy cat is on a table. It leans over a shiny fish bowl, looking at the fish swimming","<start>A fluffy cat is on a table. It leans over a shiny fish bowl, looking at the fish swimming in the sun. The sun is shining, and the sky is blue and white, and it looks so cool! The sun is shining, and the sky is blue. I wonder what the will go next to the snow! It looks like they are having a great time together!<pad>"
15,"The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and","<start>The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and happy. The baby is smiling and laughing as the ball to the train the ball. The sun is shining, and the sun shines bright and smiles. It looks like they are having a great time together. I wonder what the ball will go next!<pad>"
16,The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are,"<start>The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are shiny and shiny, and it looks very curious. The sun is shining, and it looks so cool! The sun is shining, and the sun is shining bright. I wonder what the cat is waiting for someone to see the cake. It feels like a fun place where the water splashes are waiting for someone to have fun time!<pad>"
17,The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat,"<start>The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat is sitting on a big board with a big smile. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sun is shining bright. It looks like they are having a great time together! I wonder what the ball will go next!<pad>"
18,A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks,<start>A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks very cool. The man is smiling and laughing as they walk on the soft grass. The man is smiling and smiling as he walks the ball with his skateboard. It looks like he is having fun adventures with the ball flying on the water. I wonder what he is thinking about where they are having a great time!<pad>
19,"The toilet has a big, round light above it. Sunlight comes in from a round window in the wall.","<start>The toilet has a big, round light above it. Sunlight comes in from a round window in the wall. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sun is shining bright. The man is smiling and laughing as they walk on the water. It feels like a fun day for the water and splashes all around him. I wonder what the ball will go next!<pad>"
20,"In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in","<start>In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in the sun. The cat looks so cool and special places to sit and colorful. The baby is soft and soft food and smiles as they are having fun. The sink is so cool and special places to see the cake with a big smile. It feels like a fun place where you can see the can see the cat together!<pad>"
21,There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny,"<start>There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny street. The sun is shining, and the sun shines bright and shiny. The sun is shining, and the sun shines bright and some shiny signs. It feels like a fun party with the ball flowers and the ball flowers. I wonder what they are going to see!<pad>"
22,"A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on","<start>A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on his skateboard. The man is smiling and laughing as he walks that look like a big bird. The man is smiling and laughing as he walks the waves. It looks like he is having fun adventures with his skateboard! I wonder what he is thinking about while he is having fun on the water!<pad>"
23,"The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate","<start>The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate is so cool and some are shiny and smiles. The sun is shining, and the sky is blue and shiny. The sun is shining, and the sun is shining bright. It feels like a fun place where the water splashes are watching the ball. I wonder what the will go next!<pad>"
24,"In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with","<start>In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with a big smile on the soft grass, and they look very happy. The sun shines bright, and the sky is blue and shiny. The sun shines bright, and the sky is blue and shiny. It feels like a fun place where the water splashes are watching the waves. I wonder what they are having a great time!<pad>"
