,Partial,Complete
10,There's a big building with a clock inside that's tall and pointy. The church has a tall tower that,"<start>There's a big building with a clock inside that's tall and pointy. The church has a tall tower that stands proudly in front of a big building. The clock is shiny and bright, and it looks like it is talking to someone who is standing on the side. The clock is so big that it makes the street look special. I wonder what time it is and what time it is on the sidewalk. It makes me think of adventures and fun times waiting to be told!<pad>"
11,The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green,"<start>The green bowl is on the table. It is full of little trees called broccoli. Some broccoli is green and white, and they look so yummy! There are also some broccoli and some broccoli that are soft and crunchy. The broccoli is shiny and has lots of colors. I can almost smell the yummy food! I want to eat it all and share with my friends!<pad>"
12,"There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in","<start>There is a big, yummy cake on a shiny silver plate. It has white frosting and blue sprinkles in the sun. The cake is so big and sweet, and it looks so sweet! I can see the cake inside the cake in the cake. I wonder if it likes to sit on a plate! The cake is so sweet and sweet, and I can almost smell the chocolate. I want to eat it all and see what it will make with all the cake!<pad>"
13,A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching,"<start>A big parade is happening! A police motorcycle zooms by with a shiny car behind it. People are watching the cars go by. The motorcycle goes vroom, and the street is busy with lots of cars and people. The street is full of life, with lots of cars and people all around. It feels like a fun adventure in the city! I wonder where the park is going and who is on the road.<pad>"
14,"A fluffy cat is on a table. It leans over a shiny fish bowl, looking at the fish swimming","<start>A fluffy cat is on a table. It leans over a shiny fish bowl, looking at the fish swimming in the water. The cat is so cute and small, like a little cloud. It seems to be waiting for someone to play with it. The cat seems to be talking to each other, like they are having a fun time. I wonder what the cat is thinking while it sits there. Maybe it wants to play or a fun adventure!<pad>"
15,"The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and","<start>The orange kitty sits on the table beside a bright bowl. It lays on the table, looking cozy and happy. The kitty is so cute and soft, like a little bird. The bowl is sitting on a shiny white path, waiting for someone to pick it. I wonder what the kitchen is thinking while it waits for someone to come and play. Maybe it wants to share its tasty snack!<pad>"
16,The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are,"<start>The kitty is very funny. It stands in an empty bowl while munching from another one. The dishes are sitting on a soft blue blanket that looks like a cloud. The bowl is shiny and bright, making everything feel warm and happy. The kitten is so cute and strong, like a little sun. I wonder what the kitten is thinking while it waits for a friend to eat!<pad>"
17,The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat,"<start>The cat is eating its food. It's funny because it's standing inside a bowl while munching. The cat looks so cute and happy! It sits on a soft blanket with its little paws. The bowl is sitting on a shiny tray, waiting for someone to eat it. I wonder what the cat is thinking while it sits there. Maybe it wants to say hello!<pad>"
18,A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks,"<start>A young man is sitting in a small room with a computer. He wears a cozy sweatshirt and looks very focused. His fingers are big and soft, like a special picture. The man is looking at his phone and seems very focused. He is talking to a friend on a shiny metal parking meter. It feels like he is talking to a friend on a fun adventure!<pad>"
19,"The toilet has a big, round light above it. Sunlight comes in from a round window in the wall.","<start>The toilet has a big, round light above it. Sunlight comes in from a round window in the wall. The sun is shining, and the walls are bright and colorful. The toilet sits on the sidewalk next to a shiny toilet that looks like a giant hill. It feels like a secret place where the toilet is calm and play. I wonder what is inside the toilet and if they will see when they see!<pad>"
20,"In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in","<start>In a tiny bathroom, there is a white toilet. The roof is slanted, and a bright window lets in sunshine. The walls are covered in soft white tiles that look like little clouds. The walls are covered in shiny tiles that make the room feel cozy. There is a shower with a special toilet that looks like a secret place. This bathroom feels like a special place where you can splash and play!<pad>"
21,There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny,"<start>There are tiny green beads and nuts inside bamboo pieces. I see scissors next to brussel sprouts and shiny forks. They are all so cool and sweet! The bears are so cute and look like they are having a fun time. The bears are so cute and fluffy, just like the bears. I wonder what they are talking about and if they are having a great time together!<pad>"
22,"A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on","<start>A man sits at his desk with a big, yummy hotdog. He's wearing a blue shirt and working on it. The hot dog is so big and looks so tasty! The man is holding a shiny knife to cut the hole intersed to see it. He is smiling and looking at the hot dog with a big smile. It feels like he is having a fun time with friends! I wonder what they are talking about and what they are talking about.<pad>"
23,"The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate","<start>The bowl has yummy fruit like apples, bananas, and oranges. It's sitting on the wooden table. The blue plate is soft and smells so good! I can see the crunchy carrot sitting on a plate. There are also some crunchy carrots that look like little treasures. I want to eat it all and share with my friends. It makes me feel happy and hungry!<pad>"
24,"In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with","<start>In a big parking lot, two cool motorbikes sit next to a shiny car. One bike is blue with a big smile, and it looks super cool! The other motorcycle is parked nearby, waiting for their riders. The sun shines on the bikes, making them look special. I can imagine riding the bikes and feeling the wind on my face. It’s like a fun race with all the bikes and the bikes are parked nearby!<pad>"
