image_id,captions,LongDesc
118113,"['this is a very dark picture of a room with a shelf', 'a cluttered room with a table and shelf on the wall.', 'A view of a messy room, with shelves on the wall.', 'A dark and cluttered storage area with wood walls.', 'A dim lit room consisting of many objects put together. ']","In a dark room, there are lots of things everywhere! There is a big shelf on the wall, and it has many items on it. A table sits in the middle, but it is all messy with stuff piled up. The walls are made of wood, and they look old and cozy. It feels like a secret place where treasures are hidden. I wonder what stories all the things in the room could tell!"
193271,"['A kitchen filled with black appliances and lots of counter top space.', 'some brown cabinets a black oven a tea kettle and a microwave', 'A small kitchen with glass and wooden cabinets.', 'A modern style kitchen filled with may different items.', 'A kitchen with wooden cabinets and black appliances.']","In the kitchen, there are shiny black machines like the oven and microwave. The counters are big and easy to use. Up high, the brown cabinets keep all the special things. I see something shiny that looks like glass, and some cozy wooden cabinets too! Everything looks neat and modern, like a place where yummy food is made. It feels nice and warm, just like home!"
224736,"['A professional kitchen filled with sinks and appliances.', 'A kitchen area with toilet and various cleaning appliances.', 'A commercial dish washing station with a toilet in it.', 'A toilet and mop bucket in a kitchen.', 'A cluttered room with a sink, a toilet and in industrial mop bucket.']",There’s a big kitchen with shiny sinks and lots of machines all around. But guess what? There’s a toilet right in the middle of it! It’s a bit silly because kitchens don’t usually have toilets. There’s also a huge mop bucket near the toilet like it’s ready to clean up messes. The room looks busy with tools and hoses everywhere. It's like the kitchen and bathroom became one big team!
483108,"['A man on a bicycle riding next to a train', 'A person is riding a bicycle but there is a train in the background.', 'a red and white train and a man riding a bicycle', 'a guy that is riding his bike next to a train', 'A man riding a bike past a train traveling along tracks.']","The man is pedaling his bike fast, and beside him, the train is moving on its shiny tracks. The train is big and red and white, and it feels like it’s racing him. The wheels on the bike go round and round, just like the train's noisy wheels on the tracks. The wind must feel so strong as they both zoom forward. It’s like a game, bike versus train, who will go farther? The train looks strong, but the man keeps going! "
403013,"['A narrow kitchen filled with appliances and cooking utensils.', 'A galley kitchen with cabinets and appliances on both sides', 'A hallway leading into a white kitchen with appliances.', 'Doorway view of a kitchen with a sink, stove, refrigerator and pantry.', 'The pantry door of the small kitchen is closed.']","The kitchen is long and skinny, like a little hallway you can cook in. There are shiny machines everywhere—some to keep food cold and others to make it hot. Cabinets sit on both sides, holding all the secret tools for cooking. The sink looks ready for splashing water while washing dishes. I see a pantry hiding behind a closed door, maybe full of yummy snacks. It feels like a tiny world for making meals! "
374628,"['A kitchen with wood floors and lots of furniture.', 'A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.', 'A kitchen made of mostly wood with a small desk with a laptop.', 'A very spacious room with a kitchen and dining area.', 'A full view of an open kitchen and dining area.']","In a big, sunny room, there is a special kitchen. The floors are made of warm wood, making it feel cozy. There are many cabinets that are a nice brown color, and a big island sits in the middle where people can cook and eat. A small desk with a laptop is in one corner, perfect for thinking or drawing. Big windows let in bright light, making the space feel happy and open. It’s a nice place for yummy meals and fun times together!"
328757,"['A woman eating vegetables in front of a stove.', 'A woman forks vegetables out of a bowl into her mouth. ', 'Woman eating an assortment of mixed vegetables in a bowl.', 'A young woman standing in a kitchen eats a plate of vegetables.', 'A woman eating fresh vegetables from a bowl.']","In a bright kitchen, a young woman smiles as she eats yummy vegetables. She has a big bowl filled with all kinds of colorful veggies, like bright green broccoli and orange carrots. With a shiny fork, she picks up the vegetables and brings them to her mouth. It looks so fresh and healthy! The stove is there too, smelling nice. Eating these good foods makes her happy! "
384213,"['A kitchen is shown with a variety of items on the counters.', 'A kitchen has the windows open and plaid curtains.', 'A kitchen with two windows and two metal sinks.', 'An older kitchen with cluttered counter tops but empty sink.', 'Glasses and bottles are placed near a kitchen sink.']","The kitchen is big and a little messy, like someone forgot to clean up. There are bottles and glasses sitting by the shiny sink. The counters are full of stuff, like jars and maybe some food. Two windows with plaid curtains let the sunlight come in. The breeze is probably coming through because the windows are open. It feels like an old kitchen where someone has been super busy cooking or baking something yummy!"
293802,"['A boy performing a kickflip on his skateboard on a city street.', 'A man is doing a trick on a skateboard', 'A guy jumps in the air with his skateboard beneath him.', 'Man in all black doing a trick on his skateboard.', 'A skateboarder flipping his board on a street.']","Once upon a time, a boy was riding on his shiny skateboard down a busy city street. He wanted to do something amazing, so he spun around and jumped high into the air. His skateboard flashed by underneath him as he twisted around and landed back on it with a loud pop. The people on the street were so surprised and clapped for him. The boy grinned and continued to explore the city, always searching for new things to try with his favorite skateboard."
86408,"['A kitchen with a stove, microwave and refrigerator.', 'A refrigerator, oven and microwave sitting in a kitchen.', 'The kitchenette uses  small space to great efficiency.', 'an image of a kitchen setting with black appliances', 'A kitchen with cabinets, a stove, microwave and refrigerator.']","In a cozy kitchen, there are shiny black things that help us cook. There’s a big refrigerator that keeps our food cold and fresh. Next to it, a stove is ready to make yummy meals. A microwave sits nearby, making it quick to heat up snacks. The cabinets hold all the dishes and cups we use. This little kitchen is like a magic place where tasty food comes to life!"
372938,"['A group of people riding on the back of a loaded red pickup truck.', 'A truck with a number of people and things in the back', 'Men are crowded on the back of a small overloaded pickup truck.', 'An old pick up truck over loaded with people and cargo.', 'A truck carries a large amount of items and a few people.']","There is a big red truck driving down the road. It has lots of people sitting in the back, and they look very happy. The truck is full of things like boxes and bags, all piled up high. Some men are holding on tight so they don’t fall off. The truck is old, but it is still strong and can carry many things. It’s like a little adventure on wheels!"
386164,"['A wooden ball on top of a wooden stick.', 'The table is full of wooden spoons and utensils.', 'A wood table holding an assortment of wood cooking utensils.', 'A selection of wooden kitchen tools on a counter.', 'Wooden spoons are lined up on a table']","In a cozy kitchen, there is a tall wooden stick with a shiny wooden ball on top. The table is busy with lots of wooden spoons and tools, all ready for cooking. Each spoon is special and has its own shape. They sit together like friends, waiting to help make yummy food. The wooden table is strong and holds all these neat kitchen things. It feels like a fun place to make tasty meals!"
223648,"['Multiple wooden spoons are shown on a table top.', 'A table surrounded by chairs and filled with cooking utensils.', 'Wooden spoons laid out across a kitchen table.', 'Wooden spoons and forks are all over a table.', 'A table and chairs with wooden kitchen tools on top.']",There are a bunch of wooden spoons on a big table. This table has chairs around it and lots of cooking tools. The spoons and other things are all over the table. They look like they're ready to help cook yummy food. It's so neat to see all the different spoons and tools just sitting there!
204805,"['A large boat filled with mean on wheels.', 'A bunch of people aboard a boat with wheels. ', 'A boat is being rolled on a trailer', 'A large boat full of men is sitting on a cart ', 'A boat full of people is on a trailer with wheels.']","The boat is so big, and it has wheels like a car! Lots of people are sitting on it, riding along like it's a parade. The boat isn’t in the water; it’s on a cart with wheels, moving on land. It looks like a floating house, but it’s traveling! Everyone on the boat looks excited, like they’re on an adventure. It’s funny to see boats rolling on a road."
113588,"['several young students working at a desk with multiple computers', 'A young man at his workstation examines the monitor of a lap top, with one hand on the keyboard and the other on the mouse.', 'A man is working on a laptop next to other computers.', 'People in a large room, use multiple computers.', 'A young professional is working at his laptop while his coworker is reading material.']","There are many kids at their desks using lots of computers to learn and work. They're all busy so they can grow and become clever. The computers have buttons, screens, and special keys for games and studies. Everyone is happy and excited while they touch keyboards and click on the mouse. They're helping each other so they can become brilliant and kind. These kids love studying and having lots of fun."
384553,"['A man riding an elephant into some water of a creek.', 'man riding an elephant into water surrounded by forest', 'A man riding an elephant in a river.', 'A man in a brown shirt rides an elephant into the water.', 'A man rides an elephant into a river.']","The big elephant is stepping into the sparkly water with the man sitting on its back. The water looks cool, and the trees around the river are so green and fluffy. The man wears a brown shirt and holds on tight as the elephant moves. The elephant’s feet make soft splashes in the water. It looks slow and calm, like they’re going on a secret jungle adventure together. Everything feels peaceful and full of wonder."
337264,"['a couple of women  are in a kitchen', 'Two people standing in the kitchen of a home.', 'A group of people who are around a kitchen counter.', 'A group of people prepare dinner in the kitchen.', 'two women in a kitchen bottles and lights']","In a cozy kitchen, two women are busy cooking yummy food. They stand by a big counter with lots of bottles and bright lights above them. The kitchen smells so good! Other people are there too, helping out and laughing together. Everyone is working as a team to make dinner. It feels warm and happy, like a big family party! I wonder what tasty things they are making!"
368402,"['The woman in the kitchen is holding a huge pan.', 'A chef carrying a large pan inside of a kitchen.', 'A woman is holding a large pan in a kitchen. ', 'A woman cooking in a kitchen with granite counters.', 'A woman cooking in her kitchen with a black pan.']","In a bright kitchen, a woman is busy cooking. She holds a really big black pan that looks heavy. The counters are pretty and shiny like stone. She moves around with the pan, and it seems like she is making something yummy to eat. The kitchen feels warm and smells nice. I wonder what she is cooking for everyone!"
12448,"['A baby is laying down with a teddy bear.', 'A baby laying in a crib with a stuffed teddy bear.', 'A baby wearing gloves, lying next to a teddy bear', 'A baby stares to the left while taking a picture with a teddy bear lays beside it .', 'A baby lies on blue and green bedding next to a teddy bear.']","Once upon a time, in a cozy bedroom, there lived a happy baby. The baby was laying down in a little bed called a crib. Beside the baby was their best friend, a teddy bear. The teddy bear was soft and cuddly, and the baby loved it very much. Sometimes, the baby wore little gloves on their hands to keep them warm. On other days, the baby liked to take pictures with the teddy bear. No matter what, the teddy bear was always there to comfort and play with the baby. The baby's bedding had beautiful blue and green colors, making it feel like a dreamy place for the baby to rest. And so, the baby and their teddy bear shared countless laughs and snuggles in their magical little corner."
79841,"['Two bikers, one in front of a building, the other in the city.', 'Two shots of men riding bicycles down city streets.', 'A man riding a bike in front of a tall building.', 'There are two different people riding bikes down the street.', 'Two photos of a person riding a bicycle on the side of the road.']","Once upon a time, a man in a red hat rode his bike next to a very tall building. Behind the building, another man in a blue shirt was riding a bicycle on a busy street. They moved together, riding along the side of the road, enjoying the sunny day in the city. They were two different people, having fun riding their bikes. The tall building was near the street, and the men had a great time riding their bikes in front of it."
515289,"['People riding bicycles down the road approaching a bird.', 'three bicycle riders some trees and a pigeon', 'A geoup of people on bicycles coming down a street.', 'Several smiling bicycle riders approaching a colorful pigeon.', 'A pigeon greets three bicyclists on a park path']","The bicycles go rolling fast down the road, and there's a big, fluffy pigeon standing right there. It looks so funny next to the wheels and the people laughing as they pedal. Three riders are together, and trees wave their leaves by the path. The pigeon doesn't fly away; it’s like it wants to say hello. The street feels alive with colors, wheels, and feathers. Everyone seems so happy!"
562150,"['A little girl holding a kitten next to a blue fence.', 'Girl in a tank top holding a kitten in her back yard', 'A young girl is holding a small cat.', 'Girl with a yellow shirt holding a small cat', 'A girl smiles as she holds a kitty cat.']","The girl is holding a tiny, fluffy kitten close to her chest. Her yellow shirt is sunny like a summer day, and the kitten looks cozy in her arms. Behind her, there’s a big blue fence that feels like the sky came down to rest. She is in her backyard, where the grass is soft and green. The girl’s face is happy, and the little cat looks calm, like it's her best friend."
542145,"['A toilet and a sink in small bathroom.', 'a bathroom with just a toliet and a sink in it', 'A small section of a bathroom with dim lighting.', 'a bathroom with a toilet, sink, cabinet and mirror', 'The bathroom has been cleaned and is ready to use. ']","In a tiny bathroom, there is a shiny toilet and a bright sink. The walls are a little dark, but it feels cozy. There is a mirror that makes me smile when I see my face. A cabinet holds all the special things for washing and cleaning. Everything looks so nice and tidy, like it is waiting for someone to come in. I think it would be fun to splash water in the sink!"
412151,"['A bicycle store shows two males leaning toward a bike.', 'A man adjust a bicycle in a bike shop with a child.', 'The bike shop employee is helping a customer. ', 'A man and a boy are talking about a bicycle in a store.', 'Two people in a shop looking at a bike.']","The bike shop is full of shiny bicycles, all lined up like soldiers. A man bends down to a bike, his hands working like magic as he fixes something. A little boy watches, his eyes big, asking the man lots of questions. Another man, who works there, smiles and helps them. They both lean close, like they’re sharing a secret about the bike. It feels busy and exciting in the shop!"
579003,"['A shower stall with interesting tile is the focal point.', 'A full perspective of a washroom with a sink. \n', 'A white bathroom sink sitting under a mirror.', ""I picture of a bathroom with a stand up shower stall and a person's reflection in the mirror."", 'A small shower behind a small bathroom sink.']","In a bright bathroom, there is a cool shower stall with fun tiles that catch my eye. The sink is white and shiny, sitting right under a big mirror. I can see my reflection smiling back at me! The shower is small, but it looks like a cozy place to splash water. Everything feels fresh and clean, like a happy little space just for washing up. I love how the colors dance around in the light!"
540186,"['A view of a very large bathroom with mirrored walls.', 'a corner bathroom with two sinks and a bathtub', 'A bathroom with a sink, shower and bathtub.', 'A large bathroom with cabinets, mirrors and a tub.', 'This bathroom has mirrors on the doors, cabinets, and a bathtub in the corner.']","In a big bathroom, there are shiny mirrors everywhere! The walls sparkle and make everything look bright. There are two sinks where you can wash your hands and a big bathtub where you can splash and play. In one corner, there is a shower that makes water fall like rain. There are also cabinets to keep all the bath toys and towels. It feels like a magical place where you can have fun and get clean!"
242611,"['a long beige bathroom with a door to a bedroom and another to the hallway', 'A view of a bathroom with double sinks and carpeted floor.', 'white vanity that opens up to a bathroom with shower', 'a hallway with diamond patterned walls leading to a bathroom and a bedroom', 'A bathroom with a large sink and mirror opens onto a room with the toilet and bathtub.']","In a big bathroom, there are two shiny sinks that sparkle like stars. The floor feels soft because it is covered with fluffy carpet, which is fun to walk on. A nice white vanity sits in the corner, and it opens up to show a shower where water can splash everywhere. Down the hall, the walls are pretty with diamond shapes, leading to more secret places. The bathroom also has a large mirror that makes me look like a movie star! There is a cozy toilet and a big bathtub waiting for bubbles and splashes."
51191,"['The view of a large bathroom with a walk in closet.', 'A bathroom with a walk-in closet and a jacuzzi tub.', 'A white and beige tiled bathroom and adjoining walk-in closet.', 'White tiled bathroom with a vanity tub and white flowers.', 'Long shot of a bathroom includes closet and tub.']","In a big bathroom, there is a special closet where you can keep all your clothes. The walls are white and beige, making it look very nice. There is a big, bubbly jacuzzi tub that looks like a fun place to splash around. On the counter, there are pretty white flowers that smell sweet. Everything feels clean and bright, like a happy place to take a bath. I can imagine playing with bubbles and feeling cozy in this lovely bathroom!"
269105,"['A white toilet sitting next to a green wall under a picture.', 'The letter A framed in a green bathroom.', 'There is a potted plant on the back of a toilet', 'A white toilet and some tissue in a room.', 'A commode with a plant on it under a picture on the wall.']","In a bright bathroom, there is a shiny white toilet next to a soft green wall. On the wall, I see a colorful picture that makes the room feel happy. There’s a big letter A in a nice frame, shining brightly. On the back of the toilet, a green plant grows, like it’s having a little party. There’s also some tissue nearby, ready for when you need it. This room feels very special and cozy!"
294832,"['A bathroom with an enclosed shower next to a sink and a toilet.', 'A clean, spacious bathroom with a large shower stall.', 'There are a toilet, a sink, and a shower stall in a large bathroom.', 'A bathroom featuring a walk in shower, mirror, sink and toilet.', 'Bathroom with a shower, sink, and toilet in it. ']","In a big, bright bathroom, there is a shiny shower that you can walk into. The shower is like a little room just for water! Next to it, there is a sink where you can wash your hands and brush your teeth. There is also a toilet, which is a special seat for when you need to go. The mirror above the sink is like a magic glass that shows your face. This bathroom is clean and feels nice, like a cozy place to get ready!"
462565,"['people on bicycles ride down a busy street ', 'A group of people are riding bikes down the street in a bike lane', 'bike riders passing Burger King in city street', 'A group of bicyclists are riding in the bike lane.', 'Bicyclists on a city street, most not using the bike lane']","The street is full of bikes, and everyone is pedaling fast like they’re on an adventure. Some are in the bike lane, moving all together like a parade. Others are outside the lane, weaving through the busy road like they have their own paths. Big buildings and a Burger King watch them as they pass by. The city feels alive with wheels spinning everywhere. It’s like a story made of bicycles!"
144941,"['This is an image of the inside of a nice bathroom.', 'A white toilet next to a walk in shower and a sink.', 'A potted plant is being displayed in a bathroom.', 'A tiled bathroom with a potted plant as a center piece.', 'Interior bathroom scene with modern furnishings including a plant.']","The bathroom is really nice and shiny! There is a white toilet that looks very clean. Next to it, there is a big shower where water can spray all around. The sink is also there, ready for washing hands. In the corner, there is a green plant that is very pretty and happy. The walls are made of fancy tiles, and the plant makes the bathroom feel special and fresh!"
173350,"['Two dogs are looking up while they stand near the toilet in the bathroom.', 'Two small dogs standing in a restroom next to a toilet.', 'Two dogs looking up at a camera in a bathroom.', 'Two small lap dogs in a small bathroom.', 'Two small dogs stand together in a bathroom.']","In a tiny bathroom, two little dogs are standing side by side. They have soft fur and big, curious eyes. The dogs are looking up at something shiny, maybe a camera! The toilet is right next to them, and it looks funny. The bathroom is small, but the dogs make it feel cozy. I wonder what they are thinking about! Maybe they are waiting for a fun adventure."
60760,"['A bathroom with a walk in shower currently under repair.', 'A photograph of a bathroom undergoing major renovations.', 'Interior shot of bathroom in the process of remodeling.', 'Picture of bathroom being remolded where sink has not been installed. ', 'A room under construction with an unfinished shower and plumbing for the sink.']","The bathroom looks like a puzzle being put together. The shower has no doors, and it’s not finished yet. The sink is missing, but you can see the pipes waiting like they’re in line. There are tools and pieces all around, like someone is building a big house for water. The walls look empty, but maybe they’ll wear tiles soon. It’s like the room is getting dressed up for a party!"
324266,"['The bathroom is clean for the guests to use. ', 'A bath and a sink in a room.', 'A bathroom area with tub, sink and standup shower.', 'a view of a bathroom which is covered in tiles.', 'A kitchen is shown with a tub and a sink.']","In a bright bathroom, everything is shiny and clean for visitors. There is a big tub where you can splash and play, and a sink where you can wash your hands. The walls are covered in pretty tiles that look like a rainbow. There’s also a standup shower that makes water fall like rain! It feels nice and fresh in there. This bathroom is a happy place to get all clean and ready for fun!"
166532,"['A white bath tub sitting next to a bathroom sink.', 'There is a bathtub and a counter in a bathroom.', 'A bathroom with a tub and shower and a sink.', 'This is a shower and bathtub without a shower curtain. ', 'A bathroom that has a mirror and a bathtub.']","In a cozy bathroom, there is a big white bathtub just waiting for someone to splash around. Next to it, a shiny sink sits on a counter. The tub is really special because you can fill it with bubbles and play. There is also a shower above the tub that makes water fall down like rain. In front of the sink, there is a mirror that shows your happy face. This bathroom is a fun place for playing and having a good time!"
262284,"['A full view of a shower with glass.', 'A walk in shower with a hand held shower head.', 'A bathroom shower stall with a shower head.', 'a glass walled shower in a home bathroom', 'a see through glass shower in a bathroom ']","In a bright bathroom, there is a shiny shower made of glass. The glass walls let you see inside, but it still feels cozy. There is a special shower head that you can hold in your hand, so you can wash anywhere you want. Water comes down like rain, making everything feel fresh and clean. It’s like a little water adventure every time you take a shower! The glass makes it look so pretty and sparkly."
360772,"['A toilet sitting in a bathroom next to a sink.', 'A toilet in a bathroom with green faded paint.', 'A bathroom with a gouged wall and wall socket with no panel. ', 'The toilet is near the door in the bathroom.', 'The bathroom wall needs to be resurfaced and painted.']","The bathroom looks a little old, like it’s tired. The walls are green, but some of the paint is peeled, and there’s a big scratch on one part. The toilet is close to the door, just patiently sitting there. There’s a sink next to it, and it seems like they are friends. The wall has a little hole with no cover, like it’s missing its jacket. It feels like the room needs a big hug and some new paint to feel happy again. "
111076,"['A bathroom with a sink and toilet and a window.', 'A white bathroom with white fixtures and tile floor', 'A small white toilet sitting next to a sink.', 'Small bathroom with a toilet, shower, and small mirror. ', 'A bathroom contains a toilet and a sink.']","In a bright bathroom, there is a shiny sink and a little white toilet. The walls are all white, and the floor is super clean and nice. A small mirror hangs on the wall, showing my happy face. There is also a shower in the corner, perfect for splashing water. I can see sunlight coming through the window, making the room warm and cheerful. This little bathroom feels cozy and fun!"
340559,"['There are two sinks next to two mirrors.', 'Two very metallic sinks are shown as well as the mirrors above them.', 'A room with stainless steel equipment including sinks and mirrors.', 'Two stainless steel sinks with mirrors and a fire extinguisher. ', 'A photo of a bathroom made of steel.']","This is a shiny bathroom that looks like it’s made of metal! There are two smooth sinks that are silver, and they sit right under two big mirrors. The mirrors are so clear, you could see your face very well. Next to the sinks, there’s a red fire extinguisher, which feels a bit like a superhero standing guard. Everything looks so clean and bright, like a robot's room!"
258985,"['A large porcelain toilet posed with a tan flower pot. ', 'A toilet is sitting on the ground next to a plant.', 'A toliet sitting on a curb in front of a house.', 'A white toilet sits on the front lawn.', 'A white toilet sitting on a sidewalk outside.']","In a sunny yard, there is a big, white toilet. It looks like it belongs inside a bathroom, but it is outside! Next to it, there is a tan flower pot with a pretty green plant inside. The toilet is resting on the grass, like it wants to play outside too. Some people might find it funny. It’s a silly sight to see a toilet on the lawn! What a funny place for a toilet to be!"
509822,"['a gray bicycle is locked to some metal doors', 'A bike that is padlocked to a wall.', 'The bicycle is locked on the green, metal wall. ', 'A bike chained to the doors of a building ', 'A bike is locked and hanging from a door.']","There is a gray bicycle that is locked up tight. It is chained to a green metal wall, and it looks like it is waiting for someone to ride it. The bike is very still, resting against the doors of a building. I wonder who owns it and where they went. Maybe they are coming back soon to take it for a fun ride! The bike looks a little lonely, but it is safe and sound."
321107,"['A woman rides a bicycle on a road next to the median.', 'A girl is riding her bike down the street.', 'A lady riding her bicycle on the side of a street.', 'A person on a bike riding on a street.', 'A woman riding a bike down a street next to a divider.']","On a sunny day, a lady pedals her bicycle down a big road. She has a big smile on her face and her hair is blowing in the wind. The road is nice and straight, and there is a grassy place in the middle called a median. A little girl rides her bike too, and she looks so happy. The wheels turn round and round as they go. Riding bikes is so much fun!"
229643,"['A man takes a picture in the bathroom mirror\n', 'a person taking a photo in a mirror ', 'A man taking a picture of a bathroom.', 'A bathroom sink sitting under a bathroom mirror.', 'A man takes a picture of his reflection in a mirror. ']","In a bright bathroom, a man stands in front of a shiny mirror. He smiles and takes a picture of himself. The mirror shows his happy face and the cool sink below. The sink is white and shiny, just like the mirror. It feels like a fun game to see his reflection! The bathroom is a special place where he can capture a moment just for him."
455483,"['A bathroom with two sinks and a shower.', 'a big bathroom that has some sinks in it', 'Bathroom vanity with double sinks and large mirrors.', 'A bathroom with sinks mirrors and tile flooring.', 'A bathroom that has two sinks next to each other.']","In a big bathroom, there are two shiny sinks side by side. Each sink has a big mirror above it, so you can see your happy face! The floor is made of cool tiles that feel nice under your feet. There’s also a shower where water can splash everywhere. It’s a fun place to wash your hands and brush your teeth. I like how everything is bright and clean!"
436141,"['The bathroom is clean and ready to be used. ', 'a small bathroom with a sink and a toilet.', 'A toilet, sink and mirror in the bathroom', 'Doorway view into bathroom with a sink and toilet.', 'A white toilet sitting next to a sink.']","The bathroom is all fresh and shiny! It has a sink where you can wash your hands. There's a special seat called a toilet for when you need. In front of the sink, there’s a big mirror that lets you see your smiling face. The door is nice and open, making it easy to go inside. Everything is white and clean, making it feel bright and happy!"
129001,"['A bath tub sitting next to a sink in a bathroom.', 'The bathroom is clean and ready for us to use.', 'a bath tub sitting next to a sink ', 'A bathroom that has a shower curtain over a bathtub.', 'A bathroom with multicolored tile, bathtub and pedestal sink.']","In a bright bathroom, there is a big, shiny bathtub next to a tall sink. The walls are covered in colorful tiles that make the room feel happy. A soft shower curtain hangs over the bathtub, ready to keep the water inside. Everything looks so clean and nice, like it’s waiting for a fun bath time! I can imagine splashing water and playing with bubbles. This bathroom is a special place for adventures!"
232262,"['an image of a cars driving on the highway', 'A section of traffic coming to a stop at an intersection.', 'A bunch of cars sit at the intersection of a street.', 'This is a picture of traffic on a very busy street.', 'A busy intersection filled with cars in asia']","On a big road, lots of cars zoom by like shiny toys. Some cars are going fast, and others are stopping at a place where the roads meet. It’s like a game of red light, green light! The cars are all different colors, and they look like they are having fun. In this busy place, the cars are everywhere, making the street feel alive. It’s a little noisy, but it’s exciting to see all the movement!"
