image_id,captions,ShortDesc
386164,"['A wooden ball on top of a wooden stick.', 'The table is full of wooden spoons and utensils.', 'A wood table holding an assortment of wood cooking utensils.', 'A selection of wooden kitchen tools on a counter.', 'Wooden spoons are lined up on a table']","In a cozy kitchen, there is a tall stick with a round ball on top. The table is happy with many wooden spoons and tools. They all look nice and ready to help cook yummy food!"
223648,"['Multiple wooden spoons are shown on a table top.', 'A table surrounded by chairs and filled with cooking utensils.', 'Wooden spoons laid out across a kitchen table.', 'Wooden spoons and forks are all over a table.', 'A table and chairs with wooden kitchen tools on top.']","The table is full of shiny wooden spoons and forks. They are all lined up, ready for cooking fun! Chairs are waiting for friends to join and help."
204805,"['A large boat filled with mean on wheels.', 'A bunch of people aboard a boat with wheels. ', 'A boat is being rolled on a trailer', 'A large boat full of men is sitting on a cart ', 'A boat full of people is on a trailer with wheels.']",A big boat with wheels has many men on it. The boat is sitting on a cart that rolls. It looks funny and special!
384553,"['A man riding an elephant into some water of a creek.', 'man riding an elephant into water surrounded by forest', 'A man riding an elephant in a river.', 'A man in a brown shirt rides an elephant into the water.', 'A man rides an elephant into a river.']","A man is on a big elephant. They walk into a shiny river. Trees are all around, and the water splashes everywhere!"
337264,"['a couple of women  are in a kitchen', 'Two people standing in the kitchen of a home.', 'A group of people who are around a kitchen counter.', 'A group of people prepare dinner in the kitchen.', 'two women in a kitchen bottles and lights']","In a cozy kitchen, two women are cooking yummy food. They laugh and talk while they chop and stir. The kitchen is bright with lights and fun!"
368402,"['The woman in the kitchen is holding a huge pan.', 'A chef carrying a large pan inside of a kitchen.', 'A woman is holding a large pan in a kitchen. ', 'A woman cooking in a kitchen with granite counters.', 'A woman cooking in her kitchen with a black pan.']","In a bright kitchen, a lady is cooking with a big black pan. The counters are shiny like a rock. She looks happy making yummy food!"
12448,"['A baby is laying down with a teddy bear.', 'A baby laying in a crib with a stuffed teddy bear.', 'A baby wearing gloves, lying next to a teddy bear', 'A baby stares to the left while taking a picture with a teddy bear lays beside it .', 'A baby lies on blue and green bedding next to a teddy bear.']","A baby rests happily on soft blue and green blankets. A fluffy teddy bear cuddles close, ready for fun and soft hugs. The baby looks around, curious and smiling!"
79841,"['Two bikers, one in front of a building, the other in the city.', 'Two shots of men riding bicycles down city streets.', 'A man riding a bike in front of a tall building.', 'There are two different people riding bikes down the street.', 'Two photos of a person riding a bicycle on the side of the road.']","Two friends are riding their bikes in the big city. One is near a tall building, and the other is zooming down the street. They look happy and free!"
515289,"['People riding bicycles down the road approaching a bird.', 'three bicycle riders some trees and a pigeon', 'A geoup of people on bicycles coming down a street.', 'Several smiling bicycle riders approaching a colorful pigeon.', 'A pigeon greets three bicyclists on a park path']","Bicycles zoom down the road! Three happy friends ride together, and a colorful pigeon flaps its wings. The trees sway as they pass by!"
562150,"['A little girl holding a kitten next to a blue fence.', 'Girl in a tank top holding a kitten in her back yard', 'A young girl is holding a small cat.', 'Girl with a yellow shirt holding a small cat', 'A girl smiles as she holds a kitty cat.']","In a sunny yard, a little girl in a yellow shirt cuddles a tiny kitten. She smiles wide next to a blue fence. The kitten looks happy too!"
542145,"['A toilet and a sink in small bathroom.', 'a bathroom with just a toliet and a sink in it', 'A small section of a bathroom with dim lighting.', 'a bathroom with a toilet, sink, cabinet and mirror', 'The bathroom has been cleaned and is ready to use. ']","In a cozy bathroom, there is a shiny sink and a happy toilet. The light is low, making it feel nice and cozy. Everything is clean and sparkly, ready for fun!"
412151,"['A bicycle store shows two males leaning toward a bike.', 'A man adjust a bicycle in a bike shop with a child.', 'The bike shop employee is helping a customer. ', 'A man and a boy are talking about a bicycle in a store.', 'Two people in a shop looking at a bike.']","In a bright bike shop, a man and a boy are talking about a shiny bicycle. The man helps the boy pick the best one. Two other friends are looking at bikes too!"
579003,"['A shower stall with interesting tile is the focal point.', 'A full perspective of a washroom with a sink. \n', 'A white bathroom sink sitting under a mirror.', ""I picture of a bathroom with a stand up shower stall and a person's reflection in the mirror."", 'A small shower behind a small bathroom sink.']","In a bright bathroom, there is a shiny sink under a big mirror. A cool shower with fun tiles stands nearby. It feels like a magical place to wash and play!"
540186,"['A view of a very large bathroom with mirrored walls.', 'a corner bathroom with two sinks and a bathtub', 'A bathroom with a sink, shower and bathtub.', 'A large bathroom with cabinets, mirrors and a tub.', 'This bathroom has mirrors on the doors, cabinets, and a bathtub in the corner.']","This bathroom is super big and shiny! There are two sinks and a big, cozy bathtub. It feels like a magical place where you can splash and play!"
242611,"['a long beige bathroom with a door to a bedroom and another to the hallway', 'A view of a bathroom with double sinks and carpeted floor.', 'white vanity that opens up to a bathroom with shower', 'a hallway with diamond patterned walls leading to a bathroom and a bedroom', 'A bathroom with a large sink and mirror opens onto a room with the toilet and bathtub.']","In a cozy bathroom, there are two shiny sinks and a big mirror. Soft carpet feels nice on my feet. A door leads to a secret bedroom!"
51191,"['The view of a large bathroom with a walk in closet.', 'A bathroom with a walk-in closet and a jacuzzi tub.', 'A white and beige tiled bathroom and adjoining walk-in closet.', 'White tiled bathroom with a vanity tub and white flowers.', 'Long shot of a bathroom includes closet and tub.']","In a big bathroom, there is a shiny tub that looks like a small pool! The walls are soft white and beige, and there are pretty white flowers. Next to the tub, there is a special room for clothes, like a treasure chest!"
269105,"['A white toilet sitting next to a green wall under a picture.', 'The letter A framed in a green bathroom.', 'There is a potted plant on the back of a toilet', 'A white toilet and some tissue in a room.', 'A commode with a plant on it under a picture on the wall.']","In a bright green room, there’s a shiny white toilet. It has a little plant on top, making it look friendly. A big letter A smiles from the wall!"
294832,"['A bathroom with an enclosed shower next to a sink and a toilet.', 'A clean, spacious bathroom with a large shower stall.', 'There are a toilet, a sink, and a shower stall in a large bathroom.', 'A bathroom featuring a walk in shower, mirror, sink and toilet.', 'Bathroom with a shower, sink, and toilet in it. ']","In a big, bright bathroom, there is a shiny shower that you can walk into. A mirror hangs above a sink, and a toilet sits nearby. It feels like a fun place to splash and wash!"
462565,"['people on bicycles ride down a busy street ', 'A group of people are riding bikes down the street in a bike lane', 'bike riders passing Burger King in city street', 'A group of bicyclists are riding in the bike lane.', 'Bicyclists on a city street, most not using the bike lane']","Many people are riding bikes on a busy street. They zoom past a big Burger King. The bike lane is there, but some riders choose to go on the road!"
144941,"['This is an image of the inside of a nice bathroom.', 'A white toilet next to a walk in shower and a sink.', 'A potted plant is being displayed in a bathroom.', 'A tiled bathroom with a potted plant as a center piece.', 'Interior bathroom scene with modern furnishings including a plant.']","In a bright bathroom, there’s a shiny white toilet and a cool shower. A green plant sits proudly on the tiles, making the room feel happy! The sink sparkles too, making everything look nice."
173350,"['Two dogs are looking up while they stand near the toilet in the bathroom.', 'Two small dogs standing in a restroom next to a toilet.', 'Two dogs looking up at a camera in a bathroom.', 'Two small lap dogs in a small bathroom.', 'Two small dogs stand together in a bathroom.']","Two tiny dogs are in the bathroom. They stand near a big white toilet. They look up, like they are waiting for something fun to happen!"
60760,"['A bathroom with a walk in shower currently under repair.', 'A photograph of a bathroom undergoing major renovations.', 'Interior shot of bathroom in the process of remodeling.', 'Picture of bathroom being remolded where sink has not been installed. ', 'A room under construction with an unfinished shower and plumbing for the sink.']",There’s a bathroom getting a big makeover! The shower is out of the wall and the sink is missing. It looks messy but will be super cool when done!
324266,"['The bathroom is clean for the guests to use. ', 'A bath and a sink in a room.', 'A bathroom area with tub, sink and standup shower.', 'a view of a bathroom which is covered in tiles.', 'A kitchen is shown with a tub and a sink.']",The bathroom is shiny and nice for visitors. There’s a big tub and a sink where you can wash your hands. The walls are pretty with tiles!
166532,"['A white bath tub sitting next to a bathroom sink.', 'There is a bathtub and a counter in a bathroom.', 'A bathroom with a tub and shower and a sink.', 'This is a shower and bathtub without a shower curtain. ', 'A bathroom that has a mirror and a bathtub.']","In a bright bathroom, a shiny tub is waiting for splashes. Next to it, a sink stands with a big mirror. Water flows down, making fun sounds!"
262284,"['A full view of a shower with glass.', 'A walk in shower with a hand held shower head.', 'A bathroom shower stall with a shower head.', 'a glass walled shower in a home bathroom', 'a see through glass shower in a bathroom ']",The shower is shiny and has clear glass all around. There is a special shower head that you can hold. It looks like a little room just for water!
360772,"['A toilet sitting in a bathroom next to a sink.', 'A toilet in a bathroom with green faded paint.', 'A bathroom with a gouged wall and wall socket with no panel. ', 'The toilet is near the door in the bathroom.', 'The bathroom wall needs to be resurfaced and painted.']","In a funny bathroom, there is a toilet next to a sink. The walls are green and a little old. The door is close, and the wall looks like it needs a new coat of paint!"
191381,"['Blue dust pan and brush on floor next to white commode.', 'A toilet in a low budget bathroom with a rough floor.', 'a close up of a toilet and a dust pale', 'A clean toilet in a bathroom with a cement floor.', 'a bathroom with a blue dustpan and broom on the floor ']","In a small bathroom, there’s a shiny white toilet sitting on a rough, gray floor. A blue dustpan and brush rest nearby, ready to help keep things tidy. It feels like a little cleaning adventure waiting to happen!"
111076,"['A bathroom with a sink and toilet and a window.', 'A white bathroom with white fixtures and tile floor', 'A small white toilet sitting next to a sink.', 'Small bathroom with a toilet, shower, and small mirror. ', 'A bathroom contains a toilet and a sink.']","In a bright bathroom, there’s a shiny sink and a little white toilet. The walls are white, and a small mirror hangs above. It feels cozy and clean!"
340559,"['There are two sinks next to two mirrors.', 'Two very metallic sinks are shown as well as the mirrors above them.', 'A room with stainless steel equipment including sinks and mirrors.', 'Two stainless steel sinks with mirrors and a fire extinguisher. ', 'A photo of a bathroom made of steel.']","In a shiny room, there are two cool sinks that sparkle like silver. Above them, big mirrors help us see our smiles. There's even a red fire extinguisher nearby, just in case!"
258985,"['A large porcelain toilet posed with a tan flower pot. ', 'A toilet is sitting on the ground next to a plant.', 'A toliet sitting on a curb in front of a house.', 'A white toilet sits on the front lawn.', 'A white toilet sitting on a sidewalk outside.']","There’s a big white toilet on the grass by a house. Next to it, a tan flower pot holds a pretty plant. It’s a funny place for a toilet!"
509822,"['a gray bicycle is locked to some metal doors', 'A bike that is padlocked to a wall.', 'The bicycle is locked on the green, metal wall. ', 'A bike chained to the doors of a building ', 'A bike is locked and hanging from a door.']",There is a gray bicycle that is stuck to a green wall. It can’t go anywhere because it is locked up tight. I wonder where it wants to ride!
321107,"['A woman rides a bicycle on a road next to the median.', 'A girl is riding her bike down the street.', 'A lady riding her bicycle on the side of a street.', 'A person on a bike riding on a street.', 'A woman riding a bike down a street next to a divider.']","A woman zooms on her bright bike beside the green grass. A girl rides hers too, feeling the wind. The road is fun and busy!"
229643,"['A man takes a picture in the bathroom mirror\n', 'a person taking a photo in a mirror ', 'A man taking a picture of a bathroom.', 'A bathroom sink sitting under a bathroom mirror.', 'A man takes a picture of his reflection in a mirror. ']","In a bright bathroom, a man smiles at the mirror. He holds a camera and takes a picture of himself. The sink shines below him!"
125059,"['A bathroom with a white toilet sitting next to a bathroom sink.', 'A bathroom vanity and toilet in a public restroom.', 'A view of a bathroom shows a toilet, sink and mirror.', 'A modern looking bathroom has a toilet and a sink. ', 'This bathroom has brown counter tops and a white toilet']","In the bathroom, there is a shiny white toilet and a big sink. The mirror shines, making everything look bright and nice. The brown countertops are soft and warm, like chocolate!"
455483,"['A bathroom with two sinks and a shower.', 'a big bathroom that has some sinks in it', 'Bathroom vanity with double sinks and large mirrors.', 'A bathroom with sinks mirrors and tile flooring.', 'A bathroom that has two sinks next to each other.']","In a big, shiny bathroom, there are two sparkly sinks side by side. Big mirrors make everything look super bright! It's a fun place to wash and play."
436141,"['The bathroom is clean and ready to be used. ', 'a small bathroom with a sink and a toilet.', 'A toilet, sink and mirror in the bathroom', 'Doorway view into bathroom with a sink and toilet.', 'A white toilet sitting next to a sink.']",The bathroom is shiny and nice! There’s a little sink and a white toilet. You can wash your hands and go potty here!
129001,"['A bath tub sitting next to a sink in a bathroom.', 'The bathroom is clean and ready for us to use.', 'a bath tub sitting next to a sink ', 'A bathroom that has a shower curtain over a bathtub.', 'A bathroom with multicolored tile, bathtub and pedestal sink.']","In a bright bathroom, there is a big tub and a shiny sink. The walls are colorful like a rainbow! A soft curtain hangs over the tub, making it feel cozy."
232262,"['an image of a cars driving on the highway', 'A section of traffic coming to a stop at an intersection.', 'A bunch of cars sit at the intersection of a street.', 'This is a picture of traffic on a very busy street.', 'A busy intersection filled with cars in asia']","Cars zoom on the big road, going fast! Some cars stop at a place where streets meet. It’s a busy spot with lots of shiny cars!"
61181,"['This shot is of a crowded highway full of traffic', 'there are many taxi cabs on the road', 'A city street with lots of traffic and lined with buildings.', 'Heavy city traffic all going in one direction', 'Many cars stuck in traffic on a high way']","Cars go, and people hurry! The big street is full of taxis and other cars all stuck. Tall buildings watch them move slowly!"
166323,"['Mirror view of a bathroom with a sink and tub.', 'mirror reflection of sink and the tub next to it.', 'A bathroom mirror has the reflection of the sink and bathtub.', 'The bathroom is very small with white fixtures. ', 'A sink is shown in a small bathroom']","In a tiny bathroom, there’s a shiny mirror. It shows a white sink and a big tub. Everything looks bright and clean!"
580041,"['A city street filled with traffic and parking lights.', 'A full view of a late evening with many cars parked on the street.', 'A very dark street with cars and many wires above.', ""A car's break lights glow as it waits at a red-light at an intersection."", 'A street scene with cars, street signs, and many high wires.']","The city street is busy with shiny cars all around. Some cars sparkle with red lights, resting at big stop signs. Tall wires hang above, like a tangled spider web in the night."
326781,"['A white toilet and a sink in a room.', 'White bathroom area with a blue and white shower curtain. ', 'Small bathroom area with a blue and white shower curtain hanging. ', 'A bath tub shower sitting next to a toilet.', 'A toilet with a sink and the door opened']","In a bright bathroom, there is a shiny white toilet and a sink. A blue and white shower curtain dances by the tub. The door is open, letting in light!"
387362,"['A bathroom sink shapped like a glass bowl.', 'A man that is standing with a mug in front of a mirror.', 'a man  taking a picture of himself in a bathroom mirror', 'A man standing in a bathroom taking a picture of his self in the mirror with his cell phone', 'a man taking a selfie in a little bathroom mirror ']","In a small bathroom, there is a shiny bowl for washing hands. A man smiles at his reflection while holding a mug and taking a picture. His phone clicks as he captures his happy face in the mirror!"
138079,"['A door opens to a bare, white bathroom. ', 'A varying palette of neutrals in a bathroom awaits the softening of the cabinetry.', 'A bathroom with a tile floor, bathtub and shower and no shower curtain.', 'A bathroom is shown with a shower and a toilet.', 'A beige and white three piece bathroom with no shower curtain.']","A door swings wide to a shiny white bathroom. There’s a big tub and a shiny shower, but no curtain! The walls are soft colors, waiting to find their pretty things."
556616,"['A row of parked cars sitting next to parking meters.', 'A row of cars parked on a street with parking meters.', 'A series of parking meters and cars are located next to each other. ', 'A parking meter on a street by a car with traffic.', 'A parking meter on a street with cars']",Cars are lined up on the street. They are resting next to tall parking meters. The meters are like little towers keeping track of time for the cars.
472621,"['An elegant bathroom features a tub, sink, mirror, and decorations. ', 'An old fashion above ground tub is shown with gold feet.', 'A lovely, vintage-styled bathroom with a great claw-footed tub. ', 'Bathroom with a pedestal sink and claw foot bathtub', 'A claw foot tub is in a large bathroom near a pedestal sink.']","In a pretty bathroom, there is a big tub with shiny gold feet. The sink stands tall like a little tower. Everything looks old and special, like a fairy tale!"
86320,"['A bathroom sink sitting under a large mirror.', 'A bathroom with a vanity cabinet on the wrong wall', 'A small beige bathroom with an additional medicine cabinet.', 'A bathroom sink with a mirror and medicine cabinet.', 'THERE IS A BATHROOM WITH A SINK AND A MIRROR']","In a cozy bathroom, there is a shiny sink under a big mirror. A little cabinet holds special things. It feels like a secret place!"
256668,"['A white urinal mounted to a bathroom wall.', 'A pair of kitchen tongs on top of a urinal.', 'Bathroom urinal with kitchen tongs on top behind plumbing.', 'A urinal in a bathroom with tongs on top of it.', 'a metal thing is sitting on top of a urinal']","In a bathroom, there is a shiny white urinal. On top of it, there are some funny kitchen tongs! It’s a silly surprise to see them there!"
383445,"['A glazed donut hanging from a metal rod.', 'A tasty looking treat hanging on a car antenna.', 'A donut on the antenna of a car.', 'A donut put around an antenna on a car ', 'There is a donut sitting on the car.']","A shiny donut is hanging on a car's antenna, looking super yummy! It makes the car look funny and special. I want to eat it!"
565797,"[""An orange striped tabby cat laying on top of a red vehicle's wheel."", 'a cat with a big fluffy tail sitting on top of a car tire ', 'A cat sitting on a wheel of a vehicle.', 'A cat hiding in a fender well of a car. ', 'An orange cat hiding on the wheel of a red car.']",A bright orange cat with big fluffy stripes rests on a shiny red car tire. It looks cozy and sneaky at the same time! I wonder if it likes cars like I do!
81922,"['A large jetliner flying over a traffic filled street.', 'An airplane flies low in the sky over a city street. ', 'An airplane flies over a street with many cars.', 'An airplane comes in to land over a road full of cars', 'The plane is flying over top of the cars']","A big airplane zooms in the sky high above a busy street. Cars go vroom, vroom below as the plane gets ready to land. It’s like a giant bird flying!"
50125,"['A silver and red bus in parking lot next to cars.', 'A silver bus that is parked in a lot.', 'An older picture of a bus and other vehicles in a parking lot. ', 'An old bus parks in a parking lot with other cars and bus.', 'An older silver metro bus in a parking lot.']","In a big parking lot, a shiny silver and red bus sits quietly. It’s next to some cars, looking a bit old but still cool. I wonder where it has been!"
394892,"['a little kid riding a skateboard at a park', 'A child playing on a skateboard in a park.', 'A girl stepping onto a skateboard in the playground', 'A young lady riding a skateboard across a street.', 'The kid is skateboarding on the street while wearing a jacket.']",A girl zooms on her skateboard at the park. She wears a cool jacket and smiles big. The wind makes her feel super fast and happy!
1146,"['A young man wearing black attire and a flowered tie is standing and smiling.', 'A man with glasses and his eyes closed dressed in a black shirt and a necktie.', 'A man in a green tie with his eyes closed.', 'Smiling man wearing black shirt and pale green tie.', 'A person that is dressed up very nicely.']","There’s a happy man in a black shirt and a pretty green tie. He smiles big and looks very nice! His tie has flowers, and he seems really friendly!"
310391,"['A car with some surfboards in a field.', 'The old fashioned car is carrying some retro surfboards.', 'An old car with surfboards on the top.', 'An old vehicle painted light blue and dark blue.', 'An old station wagon with a surfboard on top of it.']","In a big green field, there is a light blue car. It has cool surfboards on top, ready for fun at the beach! The car looks old but happy."
97434,"['A person on a street next to a motor bike.', 'A cop standing next to a police bike next to a man sitting on a  curb.', 'A man sits on the sidewalk next to a police motorcycle with a police officer in the background.', 'A man that is sitting down next to a cops motorcycle.', 'A man is sitting on the sidewalk while a police officer is doing something behind him.']","A man is sitting on the sidewalk, looking at a shiny police motorcycle. The police officer is nearby, doing important work. It feels like a busy day!"
241876,"['A cat on the lid of a toilet looking perturbed.', 'A blurry picture of a cat standing on a toilet.', 'A cat standing on the toilet bowl seat', 'A cat is perched on the top of a toilet seat in the bathroom.', 'A cat standing on a toilet with an open lid.']","A fluffy cat is sitting on the toilet seat. It looks a little confused, like it’s not sure why it’s there. The bathroom is quiet and funny!"
156832,"['A toilet sitting in a bathroom next to a mirror.', 'A small bathroom with the toilet seat up.', 'The toilet seat was left in the up position.', 'A door open revealing a small bathroom with sink and toilet.', 'A toilet and a sink in a small bathroom.']","In a tiny bathroom, there is a shiny toilet and a little sink. The toilet seat is up, like it’s ready for a visit! A mirror hangs nearby, making everything feel bright and fun."
270721,"['Bathroom with white fixtures, tiles and corner shower.', 'A white toilet sitting in a bathroom next to a shower.', 'Bathroom shot of non transparent shower glass and toilet.', 'An all white bathroom with a shower, toilet and sink.', 'A plain white bathroom with a sink, shower, and toilet.']","In a bright bathroom, there’s a shiny white toilet and a cool shower. The walls are all white, making it feel clean and fresh. A little sink sits nearby, ready for washing hands!"
462341,"['An older building with birds flying near it.', 'A church with a high spire and decorative roof tiles.', 'A large clock tower towering over a small city.', 'Picture of a church and its tall steeple.', 'Birds fly around a tall building with a clock.']","There is a big, old building with a tall pointy top. Birds are flying all around it, making it feel alive. A giant clock on the tower tells time for everyone in the small city."
310103,"['a motorcycle in a driveway with a vanity license plate ', 'Two luxurious motor bikes on the road near a hedge.', 'a close up of a motorcycle license plate', 'A motor bike parked on the side of the road.', 'The back of a motorcycle showing the wheel, license plate and lights. ']","There are shiny motorcycles parked in a driveway and on the road. One has a special plate with cool letters! The wheels spin fast, and the lights shine bright."
32992,"['A picture of a wooden container with crosses on it.', 'a close up of wood decorated with crosses', 'close up of a wooden base with crosses designed on the neck', 'A close up shut off some sort of religious object. ', 'A shiny wooden object is decorated with crosses.']","There is a shiny wooden box with cool crosses all over it. The wood feels nice and smooth, and the crosses look like fun little secrets. I wonder what stories the box has!"
122851,"['There is a man picking bananas next to a street.', 'A man standing over several bunches of green bananas.', ""A man attending to several bundles of banana's as a motorcycle rides by."", 'A guy grabbing a stack of bananas from a pile on the side of the road.', 'A man standing over some bundles of bananas']","A man is picking bright green bananas by the road. He has lots of bananas around him, and a motorcycle zooms past. It looks like a busy day!"
540763,"['A restroom has a toilet and a decorative sun wall plaque.', 'A picture of a very nice and white toilet.', 'A bathroom with a white toilet in the middle of the wall and a sun wall decor above it.', 'A bath room with a sun decoration above the toilet', 'A bathroom has a sun decal on the wall.']","In a bright bathroom, there is a shiny white toilet. Above it, a happy sun smiles down. It makes the room feel warm and fun!"
138246,"['some horses grazing in front of a church', 'Three horses on a green pasture with an old building in the background.', 'A filed with brown horses standing next to a church.', 'Three horses are grazing in a field in front of an old church.', 'horses eating grass in a field with trees in the background']","In a sunny field, three brown horses munch on green grass. Behind them, there is an old church with tall trees around. It feels peaceful and happy!"
32907,"['a toilet on the ground outdoors in front of a house', 'A toilet sitting in the middle of the road beside a home. ', 'A toilet on the pavement in front of a house, the tank lid lying discarded.', 'An old looking toilet sitting out on the side walk.', 'A toilet sitting in front of someones house. ']","There’s a funny toilet outside a house! It’s just sitting on the ground, like it wants to play. The tank lid is missing, and it looks old and silly!"
37675,"['Horses graze in front of a large building amid snow.', 'Several horses eating grass around melting a snow spot', 'some horses eating grass by a big house', 'Horses grazing in a field by a large home.', 'A couple of horses grazing in front of an estate.']","Horses are munching on green grass near a big, snowy house. The snow is melting, and the horses look happy. They are enjoying their tasty snack!"
268556,"['A woman is riding a motorcycle down the street.', 'A woman on a motorcycle wearing a bag and passing a car. ', 'A woman on a motor cycle on a city street', 'A woman on a motorcycle in the middle of the street.', 'A woman sits on her motorcycle in the street.']","A lady zooms on her shiny motorcycle. She rides past a big car and smiles. The city is busy, and she looks so cool!"
